name,human_eq_type,location,serving,status,date,status2,date2,time_spent
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-20 01:08:34,FIXED,2017-03-20 08:38:37,0 days 07:30:03.000000000
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-20 21:58:40,FIXED,2017-03-20 22:58:48,0 days 01:00:08.000000000
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-25 16:28:44,FIXED,2017-03-25 17:08:49,0 days 00:40:05.000000000
21st St - Queensbridge,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-27 12:38:31,FIXED,2017-03-27 16:28:44,0 days 03:50:13.000000000
21st St - Queensbridge,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-18 22:58:43,FIXED,2017-03-19 01:08:31,0 days 02:09:48.000000000
21st St - Queensbridge,An elevator,,Street To Mezzanine And Downtown Platform,OUTAGE,2017-03-14 21:58:18,,,
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,FIXED,2017-03-14 17:58:45,,,
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-15 03:58:34,FIXED,2017-03-15 09:28:31,0 days 05:29:57.000000000
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-16 05:38:15,FIXED,2017-03-16 07:58:33,0 days 02:20:18.000000000
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-21 21:08:58,FIXED,2017-03-21 22:18:54,0 days 01:09:56.000000000
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-26 23:58:27,FIXED,2017-03-27 02:08:43,0 days 02:10:16.000000000
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-27 20:09:40,FIXED,2017-03-27 23:38:51,0 days 03:29:11.000000000
21st St - Queensbridge,An elevator,NW corner of 21st Street and 41st Avenue,Street To Mezzanine,OUTAGE,2017-03-29 17:08:37,FIXED,2017-03-30 00:18:45,0 days 07:10:08.000000000
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-24 22:18:48,FIXED,2017-03-25 06:58:38,0 days 08:39:50.000000000
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-28 04:18:42,FIXED,2017-03-28 05:38:38,0 days 01:19:56.000000000
21st St - Queensbridge,An escalator,,Mezzanine To Street,OUTAGE,2017-03-30 20:08:37,FIXED,2017-03-31 00:28:45,0 days 04:20:08.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-15 04:18:22,FIXED,2017-03-15 08:58:14,0 days 04:39:52.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-17 04:08:18,FIXED,2017-03-17 08:58:25,0 days 04:50:07.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-19 04:18:51,FIXED,2017-03-19 09:09:00,0 days 04:50:09.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-21 04:09:02,FIXED,2017-03-21 08:48:46,0 days 04:39:44.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-22 01:58:41,FIXED,2017-03-22 18:38:31,0 days 16:39:50.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-22 19:58:46,FIXED,2017-03-23 01:18:40,0 days 05:19:54.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-23 04:48:48,FIXED,2017-03-23 08:48:45,0 days 03:59:57.000000000
21st St - Queensbridge,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-24 04:38:34,FIXED,2017-03-24 08:28:30,0 days 03:49:56.000000000
231st St,An elevator,SE corner of 231 Street and Broadway,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-15 14:28:29,FIXED,2017-03-15 18:08:42,0 days 03:40:13.000000000
231st St,An elevator,SE corner of 231 Street and Broadway,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-25 04:48:38,FIXED,2017-03-25 17:08:49,0 days 12:20:11.000000000
231st St,An elevator,SE corner of 231 Street and Broadway,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-26 07:58:37,FIXED,2017-03-26 16:58:24,0 days 08:59:47.000000000
231st St,An elevator,SE corner of 231 Street and Broadway,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-28 17:58:35,FIXED,2017-03-28 19:28:33,0 days 01:29:58.000000000
231st St,An elevator,SE corner of 231 Street and Broadway,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-29 11:58:20,FIXED,2017-03-29 16:48:29,0 days 04:50:09.000000000
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-15 00:48:25,FIXED,2017-03-15 04:58:13,0 days 04:09:48.000000000
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-16 12:18:29,FIXED,2017-03-16 16:38:24,0 days 04:19:55.000000000
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-19 21:28:31,FIXED,2017-03-20 01:18:42,0 days 03:50:11.000000000
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-27 04:18:49,FIXED,2017-03-27 09:28:34,0 days 05:09:45.000000000
231st St,An elevator,SW corner of 231 Street and Broadway,Street To Mezzanine,OUTAGE,2017-03-28 03:48:40,FIXED,2017-03-28 09:09:18,0 days 05:20:38.000000000
233rd St,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-16 15:48:14,FIXED,2017-03-16 17:28:30,0 days 01:40:16.000000000
233rd St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-16 15:48:15,FIXED,2017-03-16 17:38:22,0 days 01:50:07.000000000
233rd St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-18 09:48:19,FIXED,2017-03-18 17:38:45,0 days 07:50:26.000000000
233rd St,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-25 12:58:50,FIXED,2017-03-25 20:38:30,0 days 07:39:40.000000000
233rd St,An elevator,NW corner of White Plains Road and 233 Street,Street To Mezzanine,OUTAGE,2017-03-16 15:38:15,FIXED,2017-03-16 17:28:31,0 days 01:50:16.000000000
233rd St,An elevator,NW corner of White Plains Road and 233 Street,Street To Mezzanine,OUTAGE,2017-03-21 17:48:29,FIXED,2017-03-21 19:18:30,0 days 01:30:01.000000000
34th St - Penn Station,An elevator,,Mezzanine To Downtown Local Platform,OUTAGE,2017-03-15 04:18:23,FIXED,2017-03-15 08:48:22,0 days 04:29:59.000000000
34th St - Penn Station,An elevator,,Mezzanine To Downtown Local Platform,OUTAGE,2017-03-21 03:18:27,FIXED,2017-03-21 09:28:33,0 days 06:10:06.000000000
34th St - Penn Station,An elevator,,Mezzanine To Downtown Local Platform,OUTAGE,2017-03-22 03:09:58,FIXED,2017-03-22 09:18:46,0 days 06:08:48.000000000
34th St - Penn Station,An elevator,,Mezzanine To Express Platform,OUTAGE,2017-03-18 13:48:34,FIXED,2017-03-18 15:58:43,0 days 02:10:09.000000000
34th St - Penn Station,An elevator,,Mezzanine To Express Platform,OUTAGE,2017-03-31 14:28:34,FIXED,2017-03-31 20:09:02,0 days 05:40:28.000000000
34th St - Penn Station,An elevator,,Mezzanine To Uptown Local Platform,OUTAGE,2017-03-16 12:38:24,FIXED,2017-03-16 16:48:27,0 days 04:10:03.000000000
34th St - Penn Station,An elevator,,Mezzanine To Uptown Local Platform,OUTAGE,2017-03-17 03:18:18,FIXED,2017-03-17 09:28:15,0 days 06:09:57.000000000
34th St - Penn Station,An elevator,,Mezzanine To Uptown Local Platform,OUTAGE,2017-03-18 03:28:18,FIXED,2017-03-18 09:28:48,0 days 06:00:30.000000000
34th St - Penn Station,An elevator,,Uptown Local Platform To Lower Mezzanine,OUTAGE,2017-03-16 15:09:25,FIXED,2017-03-16 15:38:16,0 days 00:28:51.000000000
34th St - Penn Station,An elevator,,Uptown Local Platform To Lower Mezzanine,OUTAGE,2017-03-20 13:58:46,FIXED,2017-03-20 15:18:52,0 days 01:20:06.000000000
34th St - Penn Station,An elevator,SE corner of 34th Street and Eighth Avenue,,FIXED,2017-03-30 04:19:13,FIXED,2017-04-01 09:38:50,2 days 05:19:37.000000000
34th St - Penn Station,An elevator,SE corner of 34th Street and Eighth Avenue,Street To Uptown Local Platform,OUTAGE,2017-03-30 02:18:32,,,
34th St - Penn Station,An elevator,SE corner of 34th Street and Eighth Avenue,Street To Uptown Local Platform,OUTAGE,2017-04-01 04:18:44,,,
3rd Ave - 149th St,An elevator,NW corner of 149th Street and Third Avenue,Street To Downtown Platform,OUTAGE,2017-03-14 20:38:33,FIXED,2017-03-14 23:18:24,0 days 02:39:51.000000000
3rd Ave - 149th St,An elevator,NW corner of 149th Street and Third Avenue,Street To Downtown Platform,OUTAGE,2017-03-17 07:58:12,FIXED,2017-03-17 09:08:53,0 days 01:10:41.000000000
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,,OUTAGE,2017-03-15 03:38:29,,,
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,,OUTAGE,2017-03-18 04:18:24,,,
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,Street To Uptown Platform,FIXED,2017-03-15 08:58:14,,,
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,Street To Uptown Platform,OUTAGE,2017-03-17 04:08:16,FIXED,2017-03-17 08:48:21,0 days 04:40:05.000000000
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,Street To Uptown Platform,OUTAGE,2017-03-23 05:28:31,FIXED,2017-03-23 09:28:43,0 days 04:00:12.000000000
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,Street To Uptown Platform,OUTAGE,2017-03-28 23:58:51,FIXED,2017-03-29 05:58:39,0 days 05:59:48.000000000
3rd Ave - 149th St,An elevator,SW corner of 149th Street and Third Avenue,Street To Uptown Platform,OUTAGE,2017-03-31 13:08:57,FIXED,2017-03-31 18:18:50,0 days 05:09:53.000000000
42nd St - Port Authority Bus Term,An elevator,,Bus Terminal To Lower Mezzanine,OUTAGE,2017-03-23 19:58:34,FIXED,2017-03-23 23:48:22,0 days 03:49:48.000000000
42nd St - Port Authority Bus Term,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-20 00:18:39,FIXED,2017-03-20 20:09:18,0 days 19:50:39.000000000
42nd St - Port Authority Bus Term,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 10:48:52,FIXED,2017-03-23 19:48:48,0 days 08:59:56.000000000
42nd St - Port Authority Bus Term,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 17:28:43,FIXED,2017-03-31 04:49:39,0 days 11:20:56.000000000
42nd St - Port Authority Bus Term,An escalator,,Mezzanine To Street,OUTAGE,2017-03-15 10:28:21,FIXED,2017-03-15 19:38:33,0 days 09:10:12.000000000
42nd St - Port Authority Bus Term,An escalator,,Mezzanine To Street,OUTAGE,2017-03-19 09:38:43,FIXED,2017-03-19 17:58:51,0 days 08:20:08.000000000
42nd St - Port Authority Bus Term,An escalator,,Mezzanine To Street,OUTAGE,2017-03-20 00:18:40,FIXED,2017-03-20 10:48:44,0 days 10:30:04.000000000
42nd St - Port Authority Bus Term,An escalator,,Mezzanine To Street,OUTAGE,2017-03-23 10:48:52,FIXED,2017-03-23 19:48:48,0 days 08:59:56.000000000
42nd St - Port Authority Bus Term,An escalator,,Mezzanine To Street,OUTAGE,2017-04-01 09:48:45,,,
47th-50th Sts - Rockefeller Ctr,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-24 17:58:26,FIXED,2017-03-24 21:28:44,0 days 03:30:18.000000000
47th-50th Sts - Rockefeller Ctr,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-28 03:38:44,FIXED,2017-03-28 09:09:17,0 days 05:30:33.000000000
47th-50th Sts - Rockefeller Ctr,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-29 03:28:47,FIXED,2017-03-29 09:09:04,0 days 05:40:17.000000000
47th-50th Sts - Rockefeller Ctr,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-18 16:58:36,FIXED,2017-03-18 18:18:36,0 days 01:20:00.000000000
47th-50th Sts - Rockefeller Ctr,An elevator,,Mezzanine To Uptown,OUTAGE,2017-03-31 05:38:32,FIXED,2017-03-31 08:48:37,0 days 03:10:05.000000000
47th-50th Sts - Rockefeller Ctr,An elevator,NW corner of 6th Avenue and 49 Street,,OUTAGE,2017-03-14 16:48:30,,,
47th-50th Sts - Rockefeller Ctr,An elevator,NW corner of 6th Avenue and 49 Street,,OUTAGE,2017-03-16 14:48:34,,,
47th-50th Sts - Rockefeller Ctr,An elevator,NW corner of 6th Avenue and 49 Street,Street To Mezzanine,FIXED,2017-03-14 21:08:53,FIXED,2017-03-16 17:18:47,1 days 20:09:54.000000000
51st St,An elevator,,Downtown Platform To Passageway,FIXED,2017-03-21 08:28:41,,,
51st St,An elevator,,Uptown Platform To Passageway,OUTAGE,2017-03-27 14:58:25,,,
51st St,An escalator,,Mezzanine To Platform,OUTAGE,2017-03-27 03:48:43,FIXED,2017-03-27 09:08:44,0 days 05:20:01.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,FIXED,2017-03-14 19:58:36,FIXED,2017-03-14 22:58:24,0 days 02:59:48.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-15 11:08:25,FIXED,2017-03-15 14:58:43,0 days 03:50:18.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-16 19:58:38,FIXED,2017-03-16 22:48:44,0 days 02:50:06.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-18 01:18:38,FIXED,2017-03-20 09:48:55,2 days 08:30:17.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-20 16:18:43,,,
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-24 03:28:26,FIXED,2017-03-24 08:48:45,0 days 05:20:19.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-25 00:09:08,FIXED,2017-03-25 01:48:27,0 days 01:39:19.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-27 23:48:54,FIXED,2017-03-28 01:18:57,0 days 01:30:03.000000000
57th St - 7 Av,An elevator,,Mezzanine To Street,OUTAGE,2017-03-29 04:18:22,FIXED,2017-03-29 08:48:50,0 days 04:30:28.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-14 18:08:26,FIXED,2017-03-14 19:58:36,0 days 01:50:10.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-16 05:38:16,FIXED,2017-03-16 09:18:16,0 days 03:40:00.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-17 05:18:16,FIXED,2017-03-17 09:28:15,0 days 04:09:59.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-18 17:18:50,FIXED,2017-03-18 19:18:48,0 days 01:59:58.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-21 00:09:25,FIXED,2017-03-21 02:08:55,0 days 01:59:30.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-22 11:09:15,FIXED,2017-03-22 13:38:32,0 days 02:29:17.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-23 04:18:48,FIXED,2017-03-23 09:08:53,0 days 04:50:05.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-23 22:18:39,FIXED,2017-03-23 23:08:26,0 days 00:49:47.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-24 23:09:31,FIXED,2017-03-25 00:58:20,0 days 01:48:49.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-26 01:48:36,FIXED,2017-03-26 04:09:17,0 days 02:20:41.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-27 08:08:58,FIXED,2017-03-27 09:28:34,0 days 01:19:36.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-28 15:48:50,FIXED,2017-03-28 16:28:46,0 days 00:39:56.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-29 15:28:44,FIXED,2017-03-29 16:48:29,0 days 01:19:45.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-30 08:28:24,FIXED,2017-03-30 10:28:44,0 days 02:00:20.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-03-31 05:38:33,FIXED,2017-03-31 06:48:39,0 days 01:10:06.000000000
59th St,An escalator,,Northbound Express Platform To Northbound Local Platform,OUTAGE,2017-04-01 13:38:42,FIXED,2017-04-01 15:18:55,0 days 01:40:13.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-17 22:58:42,FIXED,2017-03-18 05:18:30,0 days 06:19:48.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-19 05:48:37,FIXED,2017-03-19 09:28:25,0 days 03:39:48.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-21 00:58:27,FIXED,2017-03-21 02:18:34,0 days 01:20:07.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-23 16:38:21,FIXED,2017-03-23 21:58:28,0 days 05:20:07.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-25 13:28:33,FIXED,2017-03-25 15:08:58,0 days 01:40:25.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-30 05:18:44,FIXED,2017-03-30 08:08:48,0 days 02:50:04.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-03-31 04:58:46,FIXED,2017-03-31 05:58:36,0 days 00:59:50.000000000
59th St,An escalator,,Southbound Express Platform To Southbound Local Platform,OUTAGE,2017-04-01 00:09:28,FIXED,2017-04-01 05:28:31,0 days 05:19:03.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-16 22:18:19,FIXED,2017-03-17 02:58:18,0 days 04:39:59.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-18 00:09:32,FIXED,2017-03-18 02:48:29,0 days 02:38:57.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-18 23:18:50,FIXED,2017-03-18 23:48:49,0 days 00:29:59.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-19 19:38:29,FIXED,2017-03-20 08:38:38,0 days 13:00:09.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Downtown,OUTAGE,2017-03-31 03:48:44,FIXED,2017-03-31 09:08:35,0 days 05:19:51.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Downtown,OUTAGE,2017-04-01 03:28:41,FIXED,2017-04-01 08:58:45,0 days 05:30:04.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-18 00:09:33,FIXED,2017-03-18 00:18:21,0 days 00:08:48.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-19 00:38:44,FIXED,2017-03-19 08:48:28,0 days 08:09:44.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-24 13:08:31,FIXED,2017-03-24 15:38:44,0 days 02:30:13.000000000
59th St - Columbus Circle,An elevator,,Mezzanine And Uptown,OUTAGE,2017-03-30 15:38:46,FIXED,2017-03-30 16:58:44,0 days 01:19:58.000000000
59th St - Columbus Circle,An elevator,Northwest corner of Columbus Circle and Central Park West,,FIXED,2017-03-14 21:28:41,FIXED,2017-03-28 21:58:41,14 days 00:30:00.000000000
59th St - Columbus Circle,An elevator,Northwest corner of Columbus Circle and Central Park West,Street To Mezzanine And Uptown 1 Platform,OUTAGE,2017-03-14 19:58:35,,,
59th St - Columbus Circle,An elevator,Northwest corner of Columbus Circle and Central Park West,Street To Mezzanine And Uptown 1 Platform,OUTAGE,2017-03-28 20:18:32,,,
59th St - Columbus Circle,An escalator,,Street To Mezzanine All Trains,FIXED,2017-03-19 09:38:45,,,
59th St - Columbus Circle,An escalator,,Street To Mezzanine All Trains,OUTAGE,2017-03-19 09:48:34,FIXED,2017-03-24 09:28:45,4 days 23:40:11.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-15 14:58:41,FIXED,2017-03-15 15:09:04,0 days 00:10:23.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-16 16:08:35,FIXED,2017-03-16 17:38:22,0 days 01:29:47.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-17 15:18:42,FIXED,2017-03-17 15:58:20,0 days 00:39:38.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-21 02:28:37,FIXED,2017-03-21 04:28:31,0 days 01:59:54.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-21 15:18:54,FIXED,2017-03-21 20:58:19,0 days 05:39:25.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-22 05:38:42,FIXED,2017-03-22 09:08:58,0 days 03:30:16.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-22 19:38:35,FIXED,2017-03-22 21:09:16,0 days 01:30:41.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-23 22:18:39,FIXED,2017-03-23 23:18:26,0 days 00:59:47.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-26 03:18:37,FIXED,2017-03-26 09:09:26,0 days 05:50:49.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-26 17:18:37,FIXED,2017-03-27 03:28:48,0 days 10:10:11.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-28 18:29:04,FIXED,2017-03-28 19:38:32,0 days 01:09:28.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-29 21:18:26,FIXED,2017-03-29 22:18:25,0 days 00:59:59.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-30 16:28:30,FIXED,2017-03-30 17:28:47,0 days 01:00:17.000000000
5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-31 02:28:21,,,
